BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
4006137501,4,613,7501,3, ,R0,2,1,"117,605",31-35,31ST ST.,Queens ,11106,,,31-35 31ST ST.
4006137502,4,613,7502,3, ,R0,2,1,"147,927",31-57,31ST ST.,Queens ,11106,,,31-57 31ST ST.
4006190006,4,619,6,9, ,D1,2,1,"68,770",32-05,NEWTOWN AVE.,Queens ,11102,,,32-05 NEWTOWN AVE.
4006190014,4,619,14,9, ,O6,4,1,"74,365",31-21,NEWTOWN AVENUE,Queens ,11102,,,31-21 NEWTOWN AVENUE
4006270025,4,627,25,7, ,D1,2,1,"55,000",28-16,34TH ST.,Queens ,11103,,,28-16 34TH ST.
4006270030,4,627,30,7, ,D1,2,1,"61,000",28-30,34TH ST.,Queens ,11103,,,28-30 34TH ST.
4006280012,4,628,12,8, ,D1,2,1,"52,300",28-15,34TH ST.,Queens ,11103,,,28-15 34TH ST.
4006280021,4,628,21,8, ,D1,2,1,"65,476",28-08,35TH ST.,Queens ,11103,,,28-08 35TH ST.
4006280027,4,628,27,8, ,D1,2,1,"63,538",28-28,35TH ST.,Queens ,11103,,,28-28 35TH ST.
4006320070,4,632,70,2, ,D7,2,1,"52,900",25-90,35TH ST.,Queens ,11103,,,25-90 35TH ST.
4006330078,4,633,78,3, ,D1,2,1,"50,910",25-98,36TH ST.,Queens ,11103,,,25-98 36TH ST.
4006360001,4,636,1,6, ,O5,4,1,"64,050",36-01,37TH AVE.,Queens ,11101,,,36-01 37TH AVE.
4006380031,4,638,31,8, ,C1,2,1,"58,000",35-20,35TH ST.,Queens ,11106,,,35-20 35TH ST.
4006390016,4,639,16,9, ,W1,4,1,"182,842",35-02,36 STREET,Queens ,11106,,,35-02 36 STREET
4006400004,4,640,4,0, ,O9,4,1,"65,904",35-37,36TH ST.,Queens ,11106,,,35-37 36TH ST.
4006410009,4,641,9,1, ,J8,4,1,"57,425",35-01,37 STREET,Queens ,11101,,,35-01 37 STREET
4006420036,4,642,36,2, ,D7,2,1,"67,552",34-22,35TH ST.,Queens ,11106,,,34-22 35TH ST.
4006430001,4,643,1,3, ,J6,4,4,"280,000",34-12,36TH ST.,Queens ,11106,,,34-12 36TH ST.
4006440028,4,644,28,4, ,O5,4,1,"137,380",36-06,34 AVENUE,Queens ,11106,,,36-06 34 AVENUE
4006450001,4,645,1,5, ,O5,4,1,"69,000",37-11,35TH AVE.,Queens ,11101,,,37-11 35TH AVE.
4006450010,4,645,10,5, ,P6,4,1,"53,550",34-37,37TH ST.,Queens ,11101,,,34-37 37TH ST.
4006730042,4,673,42,3, ,C7,2,1,"72,625",34-50,41ST ST.,Queens ,11101,,,34-50 41ST ST.
4006760010,4,676,10,6, ,K2,4,1,"52,460",32-75,STEINWAY ST.,Queens ,11103,,,32-75 STEINWAY ST.
4007090028,4,709,28,9, ,D4,2,1,"80,382",44-02,NEWTOWN ROAD,Queens ,11103,,,44-02 NEWTOWN ROAD
4007220038,4,722,38,2, ,D7,2,1,"55,840",32-06,47TH ST.,Queens ,11103,,,32-06 47TH ST.
4007360002,4,736,2,6, ,D1,2,5,"292,000",50-10,BROADWAY,Queens ,11377,Y ,,50-10 BROADWAY
4007380050,4,738,50,8, ,D1,2,15,"810,000",31-27,49TH ST.,Queens ,11377,Y ,,31-27 49TH ST.
4007440040,4,744,40,4, ,O2,4,1,"100,749",48-02,25TH AVE.,Queens ,11103,,,48-02 25TH AVE.
4007480008,4,748,8,8, ,K8,4,1,"76,195",50-01,NORTHERN BOULEVARD,Queens ,11377,,,50-01 NORTHERN BOULEVARD
4007557501,4,755,7501,5, ,R0,2,1,"80,732",19-40,HAZEN STREET,Queens ,11370,,,19-40 HAZEN STREET
4007640001,4,764,1,4, ,E1,4,1,"159,996",48-11,20TH AVE.,Queens ,11105,,,48-11 20TH AVE.
4007650001,4,765,1,5, ,E1,4,1,"168,344",19-50,48TH ST.,Queens ,11105,,,19-50 48TH ST.
4007680025,4,768,25,8, ,E7,4,1,"103,615",22-25,46TH ST.,Queens ,11105,,,22-25 46TH ST.
4007697501,4,769,7501,9, ,R0,2,1,"277,000",45-02,DITMARS BLVD.,Queens ,11105,,,45-02 DITMARS BLVD.
4007750023,4,775,23,5, ,F2,4,1,"51,900",45-10,19TH AVE.,Queens ,11105,,,45-10 19TH AVE.
4007820001,4,782,1,2, ,K6,4,1,"122,570",43-02,DITMARS BLVD.,Queens ,11105,,,43-02 DITMARS BLVD.
4008000010,4,800,10,0, ,E1,4,1,"100,028",19-40,42ND ST.,Queens ,11105,,,19-40 42ND ST.
4008110001,4,811,1,1, ,K9,4,1,"181,264",19-73,38TH ST.,Queens ,11105,,,19-73 38TH ST.
4008140001,4,814,1,4, ,F9,4,1,"396,586",1,STEINWAY PL.,Queens ,11105,,,1 STEINWAY PL.
4008307501,4,830,7501,0, ,R0,2,16,"438,423",21-05,33RD ST.,Queens ,11105,,,21-05 33RD ST.
4008317502,4,831,7502,1, ,R0,2,1,"123,274",21-21,31ST STREET,Queens ,11105,,,21-21 31ST STREET
4008350027,4,835,27,5, ,O6,4,1,"75,191",23-25,31ST ST.,Queens ,11105,,,23-25 31ST ST.
4008377501,4,837,7501,7, ,R0,2,1,"52,558",31-12,24TH AVENUE,Queens ,11105,,,31-12 24TH AVENUE
4008390001,4,839,1,9, ,D9,2,1,"178,312",28-31,ASTORIA BOULEVARD,Queens ,11102,,,28-31 ASTORIA BOULEVARD
